titre,titre_original,duree,date_de_sortie,genres,directeur,distributeur,acteurs,nationalite,budget,poster
Yannick,,1h 07min,2 août 2023,['Comédie'],Quentin Dupieux,Diaphana Distribution,"['Raphaël Quenard', 'Blanche Gardin', 'Pio Marmaï']",[' France'],,
Les Promesses,Promises,1h 54min,9 août 2023,['Drame'],Amanda Sthers,Madeleine films,"['Pierfrancesco Favino', 'Kelly Reilly', 'Jean Reno']","[' France', ' Italie']",,
Zone(s) de turbulence,Northern Comfort,1h 37min,9 août 2023,['Comédie'],Hafsteinn Gunnar Sigurðsson,Rezo Films,"['Timothy Spall', 'Emun Elliott', 'Ella Rumpf']","[' Islande', ' Grande-Bretagne', ' Allemagne']",,
Un coup de maître,,1h 35min,9 août 2023,['Comédie dramatique'],Rémi Bezançon,Zinc Film,"['Vincent Macaigne', 'Bouli Lanners', 'Bastien Ughetto']","[' France', ' Belgique']",,
Ninja Turtles: Teenage Years,Teenage Mutant Ninja Turtles: Mutant Mayhem,1h 39min,9 août 2023,"['Animation', 'Action', 'Aventure']",Jeff Rowe,Paramount Pictures France,"['Aloïs Agaësse-Mahieu', 'Micah Abbey', 'Kylian Trouillard']",[' U.S.A.'],,
La Voie Royale,,1h 47min,9 août 2023,['Drame'],Frédéric Mermoud,Pyramide Distribution,"['Suzanne Jouannet', 'Marie Colomb', 'Maud Wyler']","[' France', ' Suisse']",,
Gran Turismo,Gran Turismo: Based On a True Story,2h 14min,9 août 2023,"['Action', 'Drame']",Neill Blomkamp,Sony Pictures Releasing France,"['David Harbour', 'Orlando Bloom', 'Archie Madekwe']",[' U.S.A.'],,
Veuillez nous excuser pour la gêne occasionnée,,1h 29min,9 août 2023,['Comédie'],Olivier Van Hoofstadt,UGC Distribution / TF1 Studio,"[' Artus', 'Elsa Zylberstein', 'Benjamin Tranié']",[' France'],,
Furie au Missouri,I giorni della violenza,1h 45min,31 mars 1971,['Western'],Alfonso Brescia,Les Films du Camelia,"['Peter Lee Lawrence', 'Luigi Vannucchi', 'Andrea Bosic']",[' Italie'],,
Sartana Dans la Vallée des Vautours,Sartana nella valle degli avvoltoi,1h 35min,11 janvier 1973,['Western'],Roberto Mauri,Les Films du Camelia,"['William Berger', 'Wayde Preston', 'Aldo Berti']",[' Italie'],,
KANGDANIEL: My Parade,,1h 42min,31 août 2023,"['Concert', 'Documentaire']",Jaeseok Park,CGR EVENTS,['Daniel Kang'],[' Corée'],,
Le Dieu noir et le Diable blond,Deus E O Diabo Na Terra Do Sol,2h 00min,30 août 2023,"['Drame', 'Aventure', 'Judiciaire', 'Western']",Glauber Rocha,Capricci Films,"['Geraldo Del Rey', 'Othon Bastos', 'Mauricio do Valle']",[' Brésil'],,
La Louve,La Lupa,1h 00min,30 août 2023,['Drame'],Manon Décor,Cinéma Saint-André des Arts,"['Jessica Mazzoli', 'Pierre-Yves Massip', 'Carolina Vinci']","[' France', ' Italie']",,
N°10,Nr. 10,1h 40min,30 août 2023,"['Drame', 'Science fiction', 'Comédie']",Alex Van Warmerdam,Ed Distribution,"['Anniek Pheifer', 'Gene Bervoets', 'Pierre Bokma']","[' Pays-Bas', ' Belgique', ' Allemagne']",,
Le Rêve de Daisy,Daisy Quokka: World's Scariest Animal,1h 28min,30 août 2023,"['Animation', 'Famille', 'Aventure']",Ricard Cussó,Alba Films,"['Marie Braam', 'Angourie Rice', 'Jean-Michel Vovk']",[' Australie'],,
àma Gloria,,1h 24min,30 août 2023,['Drame'],Marie Amachoukeli,Pyramide Distribution,"['Louise Mauroy-Panzani', 'Ilça Moreno Zego', 'Arnaud Rebotini']","[' Belgique', ' France']",,
Banel & Adama,,1h 27min,30 août 2023,['Drame'],Ramata-Toulaye Sy,Tandem,"['Khady Mane', 'Mamadou Diallo', 'Binta Racine Sy']","[' France', ' Sénégal', ' Mali']",,
Alam,,1h 40min,30 août 2023,['Drame'],Firas Khoury,JHR Films,"['Mahmood Bakri', 'Sereen Khass', 'Mohammad Karaki']","[' Palestine', ' France', ' Tunisie', ' Arabie Saoudite', ' Qatar']",,
Super-bourrés,,1h 19min,30 août 2023,['Comédie'],Bastien Milheau,Zinc Film,"['Pierre Gommé', 'Nina Poletto', 'Vincent Moscato']",[' France'],,
Paradis,Paradise,1h 28min,30 août 2023,['Documentaire'],Alexander Abaturov,Jour2fête,[],"[' Suisse', ' France']",,
Equalizer 3,The Equalizer 3,,30 août 2023,['Thriller'],Antoine Fuqua,Sony Pictures Releasing France,"['Denzel Washington', 'Dakota Fanning', 'David Denman']",[' U.S.A.'],,
La Beauté du geste,"Keiko, me wo sumasete",1h 39min,30 août 2023,['Drame'],Sho Miyake,Art House,"['Yukino Kishii', 'Tomokazu Miura', 'Masaki Miura']","[' Japon', ' France']",,
Cher Papa,Caro papà,1h 50min,19 septembre 1979,['Drame'],Dino Risi,Les Acacias,"['Vittorio Gassman', 'Andrée Lachapelle', 'Aurore Clément']","[' Italie', ' France', ' Canada']",,
Fantôme d'amour,Fantasma d'amore,1h 35min,29 avril 1981,"['Drame', 'Epouvante-horreur']",Dino Risi,Les Acacias,"['Romy Schneider', 'Marcello Mastroianni', 'Eva Maria Meineke']","[' Italie', ' France', "" Allemagne de l'Ouest""]",,
"Ma Vie est un Défi, 1000 km pour défier le Parkinson",,1h 24min,23 août 2023,['Documentaire'],Stephan Rytz,Jupiter Films,[],[' Suisse'],,
Psycho-Pass : Providence,Gekijōban Psycho-Pass: Providence,2h 00min,25 août 2023,"['Animation', 'Science fiction', 'Thriller']",Naoyoshi Shiotani,Sony Pictures Releasing France,"['Kana Hanazawa', 'Noriko Hidaka', 'Shizuka Ito']",[' Japon'],,
Vera,,1h 55min,23 août 2023,['Drame'],Tizza Covi,Les Films de l'Atalante,"['Vera Gemma', 'Daniel De Palma', 'Sebastian Dascalu']",[' Autriche'],,
Infiltrée,Cadejo blanco,2h 05min,23 août 2023,"['Drame', 'Thriller']",Justin Lerner,L'Atelier Distribution,"['Karen Martínez', 'Rudy Rodríguez', 'Pamela Martínez (II)']","[' Guatemala', ' U.S.A.', ' Mexique']",,
Les Fantômes d'Istanbul,Hayaletler,1h 30min,23 août 2023,['Drame'],Azra Deniz Okyay,La Vingt-Cinquième Heure,"['Dilayda Güneş', 'Beril Kayar', 'Nalan Kuruçim']","[' Turquie', ' Qatar', ' France']",,
Le Dernier Voyage du Demeter,The Last Voyage Of The Demeter,1h 58min,23 août 2023,"['Epouvante-horreur', 'Thriller']",André Øvredal,Universal Pictures International France,"['Corey Hawkins', 'Aisling Franciosi', 'Liam Cunningham']",[' U.S.A.'],,
La Guerre des Dieux,Xin shen bang: Yang Jian,2h 07min,23 août 2023,"['Animation', 'Action', 'Fantastique']",Ji Zhao,KMBO,['Kai Wang'],[' Chine'],,
Anatomie d’une chute,,2h 30min,23 août 2023,"['Policier', 'Drame', 'Thriller', 'Judiciaire']",Justine Triet,Le Pacte,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado Graner']",[' France'],,
Retribution,,1h 30min,23 août 2023,['Thriller'],Nimród Antal,StudioCanal,"['Liam Neeson', 'Noma Dumezweni', 'Lilly Aspell']",[' U.S.A.'],,
Hypnotic,,1h 34min,23 août 2023,"['Thriller', 'Action']",Robert Rodriguez,SND,"['Ben Affleck', 'Alice Braga', 'JD Pardo']",[' U.S.A.'],,
Metallica M72 World Tour Live from TX #2,,2h 45min,21 août 2023,['Concert'],Gene McAuliffe,Pathé Live,[],[' U.S.A.'],,
Abdelinho,,1h 40min,16 août 2023,"['Comédie', 'Drame']",Hicham Ayouch,Urban Distribution,"['Ali Suliman', 'Aderrahim Tamimi', 'Inês Monteiro']",[' Maroc'],,
Ne pas avaler,Nil by Mouth,1h 59min,5 novembre 1997,['Drame'],Gary Oldman,Mission,"['Ray Winstone', 'Kathy Burke', 'Charlie Creed-Miles']",[' Grande-Bretagne'],,
Metallica M72 World Tour - Concert #1,Metallica M72 World Tour Live from TX #1,2h 45min,19 août 2023,['Concert'],Gene McAuliffe,Pathé Live,[],"[' U.S.A.', ' Grande-Bretagne']",,
Kasaba,,1h 22min,16 août 2023,['Drame'],Nuri Bilge Ceylan,Memento Distribution,"['Mehmet Emin Toprak', 'Emin Ceylan', 'Havva Saglam']",[' Turquie'],,
Adieu ma concubine,Ba wang bie ji,2h 53min,27 octobre 1993,"['Drame', 'Romance']",Chen Kaige,Carlotta Films,"['Leslie Cheung', ' Zhang Fengyi', 'Lu Qi']","[' Hong-Kong', ' Chine']",,
Quand les vagues se retirent,Kapag Wala Nang mga Alon,3h 07min,16 août 2023,"['Drame', 'Thriller']",Lav Diaz,Epicentre Films,"['John Lloyd Cruz', 'Ronnie Lazaro', 'Don Melvin Boongaling']","[' Philippines', ' France', ' Danemark', ' Portugal']",,
Seconde jeunesse,Astolfo,1h 37min,16 août 2023,"['Comédie', 'Romance']",Gianni Di Gregorio,Le Pacte,"['Gianni Di Gregorio', 'Stefania Sandrelli', 'Alfonso Santagata']","[' Italie', ' France']",,
Les As de la jungle 2 - Opération tour du monde,,1h 29min,16 août 2023,"['Animation', 'Aventure', 'Comédie', 'Famille']",Laurent Bru,SND,"['Philippe Bozo', 'Laurent Morteau', 'Pascal Casanova']",[' France'],,
Blue Beetle,,2h 07min,16 août 2023,"['Action', 'Fantastique', 'Aventure']",Angel Manuel Soto,Warner Bros. France,"['Xolo Maridueña', 'Bruna Marquezine', 'Susan Sarandon']",[' U.S.A.'],,
Fermer les yeux,Cerrar los ojos,2h 49min,16 août 2023,['Drame'],Victor Erice,Haut et Court,"['Manolo Solo', 'José Coronado', 'Ana Torrent']","[' Espagne', ' Argentine']",,
Reality,,1h 22min,16 août 2023,"['Drame', 'Biopic']",Tina Satter,Metropolitan FilmExport,"['Sydney Sweeney', 'Josh Hamilton', 'Marchant Davis']",[' U.S.A.'],,
La Bête Dans La Jungle,,1h 43min,16 août 2023,['Drame'],Patric Chiha,Les Films du Losange,"['Anaïs Demoustier', 'Tom Mercier', 'Béatrice Dalle']","[' France', ' Belgique', ' Autriche']",,
Bholaa Shankar,,2h 30min,11 août 2023,"['Action', 'Drame']",Meher Ramesh,Friday Entertainment,"[' Chiranjeevi', 'Tamannaah Bhatia', 'Vennela Kishore']",[' Inde'],,
Les Amoureux,Älskande par,1h 58min,2 mars 1966,"['Drame', 'Romance']",Mai Zetterling,Carlotta Films,"['Harriet Andersson', 'Gunnel Lindblom', 'Gio Petré']",[' Suède'],,
Jeux de nuit,Nattlek,1h 45min,14 septembre 1966,['Drame'],Mai Zetterling,Carlotta Films,"['Ingrid Thulin', 'Keve Hjelm', 'Lena Brundin']",[' Suède'],,
Amorosa,,1h 57min,9 août 2023,"['Biopic', 'Drame']",Mai Zetterling,Carlotta Films,"['Stina Ekblad', 'Erland Josephson', 'Philip Zanden']",[' Suède'],,
Les Filles,Flickorna,1h 40min,6 juin 1969,['Comédie dramatique'],Mai Zetterling,Carlotta Films,"['Bibi Andersson', 'Harriet Andersson', 'Gunnel Lindblom']",[' Suède'],,
Gadar 2,,2h 45min,11 août 2023,"['Action', 'Drame']",Anil Sharma,Night ed films,"['Sunny Deol', 'Ameesha Patel', 'Gaurav Chopra']",[' Inde'],,
Mamamoo : My Con The Movie,,2h 04min,10 août 2023,['Concert'],Jae-kyung Lim,Pathé Live,[],[' Corée'],,
L'Eté en pente douce,,1h 36min,29 avril 1987,['Drame'],Gérard Krawczyk,Mission,"['Jacques Villeret', 'Jean-Pierre Bacri', 'Pauline Lafont']",[' France'],,
Jailer,,2h 50min,10 août 2023,"['Action', 'Comédie', 'Policier', 'Thriller']",Nelson Dilipkumar,Friday Entertainment,"[' Rajinikanth', ' Mohanlal', 'Jackie Shroff']",[' Inde'],,
24 heures à New-York,Mutt,1h 22min,9 août 2023,['Drame'],Vuk Lungulov-Klotz,Dulac Distribution,"['Lio Mehiel', 'Cole Doman', 'MiMi Ryder']",[' U.S.A.'],,
Punch-Drunk Love,,1h 35min,22 janvier 2003,"['Comédie', 'Romance']",Paul Thomas Anderson,Ciné Sorbonne,"['Adam Sandler', 'Emily Watson', 'Philip Seymour Hoffman']",[' U.S.A.'],,
Animalia,,1h 30min,9 août 2023,"['Drame', 'Fantastique']",Sofia Alaoui,Ad Vitam,"['Oumaïma Barid', 'Mehdi Dehbi', 'Fouad Oughaou']","[' France', ' Maroc']",,
Les Avantages de voyager en train,Ventajas de viajar en tren,1h 43min,9 août 2023,"['Drame', 'Comédie']",Aritz Moreno,Damned Distribution,"['Luis Tosar', 'Pilar Castro', 'Ernesto Alterio']","[' Espagne', ' France']",,
"Un homme, un cheval et un pistolet","Un uomo, un cavallo, una pistola",1h 35min,1 décembre 1970,['Western'],Luigi Vanzi,Les Films du Camelia,"['Tony Anthony', 'Daniele Vargas', 'Ettore Manni']","[' Italie', "" Allemagne de l'Ouest"", ' U.S.A.']",,
Un Dollar Entre les Dents,Un dollaro tra i denti,1h 36min,2 août 1967,['Western'],Luigi Vanzi,Les Films du Camelia,"['Tony Anthony', 'Frank Wolff', 'Jolanda Modio']","[' Italie', ' U.S.A.']",,
Ringo au pistolet d'or,Johnny Oro,1h 27min,19 juillet 1967,['Western'],Sergio Corbucci,Les Films du Camelia,"['Mark Damon', 'Valeria Fabrizi', 'Giulia Rubini']",[' Italie'],,
"Trois salopards, une poignée d'or",La Più grande rapina del west,1h 47min,2 septembre 1970,['Western'],Maurizio Lucidi,Les Films du Camelia,"['George Hilton', 'Walter Barnes', 'Jack Betts']",[' Italie'],,
Priyotoma,,2h 23min,4 août 2023,['Romance'],Himel Ashraf,Desi Entertainment Paris,"['Shakib Khan', 'Idhika Paul']",[' Bengladesh'],,
La Vengeance est un plat qui se mange froid,La Vendetta è un piatto che si serve freddo,1h 35min,1 mai 1973,['Western'],Pasquale Squitieri,Les Films du Camelia,"['Leonard Mann', 'Ivan Rassimov', 'Klaus Kinski']","[' Italie', ' France']",,
Une longue file de croix,Una lunga fila di croci,1h 27min,27 octobre 1971,['Western'],Sergio Garrone,Les Films du Camelia,"['Anthony Steffen', 'William Berger', 'Mario Brega']",[' Italie'],,
Bravo Django,Pochi dollari per Django,1h 27min,15 novembre 1967,['Western'],León Klimovsky,Les Films du Camelia,"['Anthony Steffen', 'Gloria Osuna', 'Frank Wolff']","[' Italie', ' Espagne']",,
Bro,,2h 12min,2 août 2023,"['Comédie dramatique', 'Fantastique']", Samuthirakani,Friday Entertainment,"['Pawan Kalyan', 'Sai Dharam Tej', 'Brahmanandam Kanneganti']",[' Inde'],,
Francesca et l'amour,Francesca y el amor,,2 août 2023,[],Alba Sotorra,Urban Distribution,[],"[' Espagne', ' France']",,
Le Grand chemin,,1h 44min,25 mars 1987,['Drame'],Jean-Loup Hubert,Mission,"['Richard Bohringer', ' Anémone', 'Antoine Hubert']",[' France'],,
Suro,,1h 56min,2 août 2023,['Drame'],Mikel Gurrea,Tamasa Distribution,"['Vicky Luengo', 'Pol López', 'Ilyass El Ouahdani']",[' Espagne'],,
The Wastetown,Shahre Khamoush,1h 38min,2 août 2023,['Thriller'],Ahmad Bahrami,Bodega Films,"['Baran Kosari', 'Ali Bagheri']",[' Iran'],,
Le Péril jeune,,1h 41min,11 janvier 1995,"['Comédie', 'Drame', 'Romance']",Cédric Klapisch,Les Acacias,"['Romain Duris', 'Vincent Elbaz', 'Nicolas Koretzky']",[' France'],,
Détective Conan: le sous-marin noir,Meitantei Conan: Kurogane no Submarine,1h 50min,2 août 2023,"['Animation', 'Action', 'Aventure']",Yuzuru Tachikawa,Eurozoom,"['Ioanna Gkizas', 'Minami Takayama', 'Laëtitia Lienart']",[' Japon'],,
Yamabuki,,1h 37min,2 août 2023,['Drame'],Yamasaki Juichiro,Survivance,"['Kang Yoon-soo', 'Kilala Inori', 'Yohta Kawase']","[' Japon', ' France']",,
On dirait la planète Mars,,1h 44min,2 août 2023,['Comédie'],Stéphane Lafleur,UFO Distribution,"['Steve Laplante', 'Larissa Corriveau', 'Fabiola N. Aladin']",[' Canada'],,
Les Tournesols sauvages,Girasoles silvestres,1h 46min,2 août 2023,['Drame'],Jaime Rosales,Condor Distribution,"['Anna Castillo', 'Oriol Pla', 'Quim Ávila']","[' Espagne', ' France']",,
Magic !,My Fairy Troublemaker,1h 15min,2 août 2023,"['Famille', 'Animation', 'Fantastique']",Caroline Origer,KMBO,"['Shérine Seyad', 'Jella Haase', 'Marie Braun']","[' Luxembourg', ' Allemagne']",,
Tropic,,1h 50min,2 août 2023,['Drame'],Edouard Salier,Rezo Films,"['Pablo Cobo', 'Louis Peres', 'Marta Nieto']",[' France'],,
Le Colibri,Il colibrì,2h 06min,2 août 2023,['Drame'],Francesca Archibugi,Paname Distribution,"['Pierfrancesco Favino', 'Kasia Smutniak', 'Bérénice Bejo']","[' Italie', ' France']",,
Les Blagues de Toto 2 - classe verte,,1h 25min,2 août 2023,['Comédie'],Pascal Bourdiaux,SND,"['Hugo Trophardy', 'Guillaume De Tonquédec', 'Anne Marivin']","[' France', ' Belgique']",,
En eaux très troubles,Meg 2: The Trench,1h 56min,2 août 2023,"['Thriller', 'Action']",Ben Wheatley,Warner Bros. France,"['Jason Statham', 'Jing Wu', 'Shuya Sophia Cai']","[' U.S.A.', ' Chine']",,
Miraculous - le film,,1h 39min,5 juillet 2023,"['Animation', 'Action', 'Aventure', 'Comédie musicale']",Jeremy Zag,SND,"['Anouck Hautbois', 'Benjamin Bollen', 'Antoine Tomé']",[' France'],,
Memento,,1h 56min,11 octobre 2000,['Thriller'],Christopher Nolan,Metropolitan FilmExport,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",[' U.S.A.'],,
Petit Jésus,,1h 35min,12 juillet 2023,['Comédie'],Julien Rigoulot,Wild Bunch Distribution,"['Antoine Bertrand', 'Esteban Azuara Eymard', 'Gérard Darmon']","[' France', ' Canada']",,
Le Retour,,1h 46min,12 juillet 2023,['Drame'],Catherine Corsini,Le Pacte,"['Aïssatou Diallo Sagna', 'Suzy Bemba', 'Esther Gohourou']",[' France'],,
